FLNC SGCD
SGCD SGCE
SGCD SGCG
SGCD DTNA
SGCD SGCA
SGCD SSPN
SGCD SGCB
MAP2K4 BLNK
MAP2K4 MAPK10
MAP2K4 AKT3
BLNK GRB2
BLNK CBL
BLNK CD2AP
BLNK SH3KBP1
BLNK NCK1
BLNK GRAP2
BLNK BTK
BLNK CD79A
BLNK MAP4K1
BLNK DOK3
BLNK SYK
BLNK PLCG2
BLNK CMTM3
BLNK PIK3R1
BLNK SOS1
BLNK YWHAZ
BLNK MAPK1
BLNK PLCG1
BLNK BCAR1
BLNK NAP1L1
BLNK CRKL
BLNK ITK
BLNK BANP
BLNK CAMK2A
BLNK ERBB2
BLNK CRK
BLNK CBLB
BLNK PTPN6
BLNK SH3GL1
BLNK LCP2
BLNK CD72
BLNK NAP1L4
BLNK VAV1
BLNK TPI1
BLNK LAT2
MAPK10 MAPK8IP3
MAPK10 ARRB2
MAPK10 ATF2
MAPK10 RELA
MAPK10 CDKN2A
MAPK10 ARRB1
MAPK10 HDAC9
MAPK10 JUN
MAPK10 PKMYT1
MAPK10 MAPK10
MAPK10 GCH1
MAPK10 HAX1
MAPK10 LDHA
MAPK10 TP53
MAPK10 MYC
MAPK10 H3C10
MAPK10 BCL2
MAPK10 COPS5
MAPK10 RXRA
MAPK10 LCK
MAPK10 MYB
MAPK10 FOS
MAPK10 ELK3
MAPK10 NR3C1
MAPK10 ESR1
MAPK10 SHC1
MAPK10 MAPK6
MAPK10 H3C2
MAPK10 RCAN1
MAPK10 GTF3C1
MAPK10 ETS1
MAPK10 CEBPE
MAPK10 CREBBP
MAPK10 CCNB1
MAPK10 GRK2
MAPK10 MAPK8IP1
MAPK10 PPARA
MAPK10 KIF26A
MAPK10 CEP290
MAPK10 HSF1
MAPK10 MEF2C
MAPK10 MAP2K3
MAPK10 ATN1
MAPK10 H3C7
MAPK10 NFATC1
MAPK10 APLP2
MAPK10 TCF3
MAPK10 DUSP16
MAPK10 H3C4
MAPK10 HNRNPK
MAPK10 MAP2K6
MAPK10 H3C8
MAPK10 H3C1
MAPK10 CEBPB
MAPK10 MCL1
MAPK10 MYLK
MAPK10 H3C6
MAPK10 MAP2K7
MAPK10 PLIN2
MAPK10 SNTA1
MAPK10 RPS6KA1
MAPK10 PLA2G4A
MAPK10 DUSP1
MAPK10 H3C3
MAPK10 H3C12
MAPK10 CDK5
MAPK10 UNC119
MAPK10 MAPKAPK2
MAPK10 MAPKBP1
MAPK10 CDKN1A
MAPK10 IRS1
MAPK10 SLC9A1
MAPK10 MAPK8IP2
MAPK10 TTC19
MAPK10 LIFR
MAPK10 ZFP36
MAPK10 BCL2L11
MAPK10 MAP2K1
MAPK10 H3C11
MAPK10 MC1R
MAPK10 SH3BP5
MAPK10 DUSP10
MAPK10 STMN2
MAPK10 STMN1
MAPK10 MAP2K2
MAPK10 KRT8
AKT3 MAP3K5
AKT3 MDM2
AKT3 NR4A1
AKT3 ATXN1
AKT3 GATA1
AKT3 AR
AKT3 EP300
AKT3 ESR1
AKT3 MTOR
AKT3 RAC1
AKT3 CDKN1A
AKT3 PRKCD
AKT3 GSK3B
AKT3 NOS3
AKT3 PIKFYVE
AKT3 BRCA1
AKT3 CREB1
AKT3 FOXO3
AKT3 FOXO1
AKT3 YWHAZ
AKT3 NEDD4
AKT3 CHUK
AKT3 ADRB2
AKT3 GAB2
AKT3 IRS1
AKT3 MST1R
AKT3 PTPN1
AKT3 HTT
AKT3 CDKN1B
AKT3 FANCA
AKT3 CHEK1
AKT3 XIAP
AKT3 PDCD4
AKT3 FOXO4
AKT3 YAP1
AKT3 RAF1
AKT3 CASP3
AKT3 BRAF
AKT3 PRKCZ
AKT3 TSC2
AKT3 BAD
AKT3 TBC1D4
AKT3 MAP3K11
AKT3 PPP2CA
AKT3 WNK1
AKT3 GRB10
AKT3 AHNAK
