TRIM54 SHC3
SHC3 EGFR
SHC3 RET
SHC3 ERBB2
SHC3 ALK
SHC3 NTRK1
SHC3 APP
SHC3 REL
SHC3 GRB2
SHC3 ERBB3
SHC3 GAB1
SHC3 AXL
SHC3 GOLGA2
SHC3 TRAF1
SHC3 WWOX
SHC3 CCNC
SHC3 KRT31
SHC3 VPS28
SHC3 ARHGAP32
SHC3 TRAF2
SHC3 USHBP1
SHC3 KRT40
SHC3 KRT33B
SHC3 NTRK2
SHC3 SH3GL3
SHC3 FLT4
SHC3 KRT39
SHC3 KRT35
SHC3 ZMYND12
SHC3 KRT34
SHC3 YPEL3
SHC3 TRIM35
SHC3 UBAP2
SHC3 TSC1
SHC3 USP54
SHC3 CT55
SHC3 GOLGA6L9
SHC3 FTO
SHC3 ASPG
SHC3 PNMA1
SHC3 PRKAR1B
SHC3 STX11
SHC3 DOK3
SHC3 CEACAM6
SHC3 ANKRD10
SHC3 PSMD8
SHC3 PPP1R16B
SHC3 BMF
SHC3 YPEL5
SHC3 PMF1
SHC3 COPS6
SHC3 KRT86
SHC3 CDCA4
SHC3 SMYD3
AGR2 ACTB
AGR2 MYH9
AGR2 ASPH
ACTB ARRB2
ACTB MDM2
ACTB RPL11
ACTB TP53
ACTB HDAC1
ACTB HDAC2
ACTB UBE2I
ACTB KAT5
ACTB NPM1
ACTB RNF4
ACTB H2AX
ACTB MYC
ACTB PSMA3
ACTB CDKN2A
ACTB EIF3K
ACTB RPA2
ACTB EEF1A1
ACTB GAPDH
ACTB RPA1
ACTB RPA3
ACTB PARP1
ACTB LMNA
ACTB RAD51
ACTB AR
ACTB ESR1
ACTB ERBB2
ACTB RAC1
ACTB SRC
ACTB CDKN1A
ACTB SMARCA4
ACTB PRKCD
ACTB CORO1A
ACTB RPS9
ACTB HDAC6
ACTB PLD2
ACTB PLD1
ACTB UBC
ACTB HSPA8
ACTB APP
ACTB CAV1
ACTB SHC1
ACTB GSN
ACTB PRKN
ACTB HSPD1
ACTB NOS3
ACTB MAPT
ACTB VCP
ACTB LRPPRC
ACTB HSPA4
ACTB TK1
ACTB SMAD3
ACTB HNRNPU
ACTB DDX5
ACTB POLR2A
ACTB CARM1
ACTB ESR2
ACTB VHL
ACTB RAD50
