FLNC SGCD
SGCD SGCE
SGCD SGCG
SGCD DTNA
SGCD SGCA
SGCD SSPN
SGCD SGCB
MAP2K4 MAPK10
MAP2K4 MAP3K5
MAPK10 MAPK8IP3
MAPK10 ARRB2
MAPK10 ATF2
MAPK10 RELA
MAPK10 CDKN2A
MAPK10 ARRB1
MAPK10 HDAC9
MAPK10 JUN
MAPK10 PKMYT1
MAPK10 MAPK10
MAPK10 GCH1
MAPK10 HAX1
MAPK10 LDHA
MAPK10 TP53
MAPK10 MYC
MAPK10 H3C10
MAPK10 BCL2
MAPK10 COPS5
MAPK10 RXRA
MAPK10 LCK
MAPK10 MYB
MAPK10 FOS
MAPK10 ELK3
MAPK10 NR3C1
MAPK10 ESR1
MAPK10 SHC1
MAPK10 MAPK6
MAPK10 H3C2
MAPK10 RCAN1
MAPK10 GTF3C1
MAPK10 ETS1
MAPK10 CEBPE
MAPK10 CREBBP
MAPK10 CCNB1
MAPK10 GRK2
MAPK10 MAPK8IP1
MAPK10 PPARA
MAPK10 KIF26A
MAPK10 CEP290
MAPK10 HSF1
MAPK10 MEF2C
MAPK10 MAP2K3
MAPK10 ATN1
MAPK10 H3C7
MAPK10 NFATC1
MAPK10 APLP2
MAPK10 TCF3
MAPK10 DUSP16
MAPK10 H3C4
MAPK10 HNRNPK
MAPK10 MAP2K6
MAPK10 H3C8
MAPK10 H3C1
MAPK10 CEBPB
MAPK10 MCL1
MAPK10 MYLK
MAPK10 H3C6
MAPK10 MAP2K7
MAPK10 PLIN2
MAPK10 SNTA1
MAPK10 RPS6KA1
MAPK10 PLA2G4A
MAPK10 DUSP1
MAPK10 H3C3
MAPK10 H3C12
MAPK10 CDK5
MAPK10 UNC119
MAPK10 MAPKAPK2
MAPK10 MAPKBP1
MAPK10 CDKN1A
MAPK10 IRS1
MAPK10 SLC9A1
MAPK10 MAPK8IP2
MAPK10 TTC19
MAPK10 LIFR
MAPK10 ZFP36
MAPK10 BCL2L11
MAPK10 MAP2K1
MAPK10 H3C11
MAPK10 MC1R
MAPK10 SH3BP5
MAPK10 DUSP10
MAPK10 STMN2
MAPK10 STMN1
MAPK10 MAP2K2
MAPK10 KRT8
MAP3K5 AKT1
MAP3K5 MAPK8IP3
MAP3K5 ARRB2
MAP3K5 MAP3K2
MAP3K5 APP
MAP3K5 CDC25A
MAP3K5 YWHAZ
MAP3K5 TXN
MAP3K5 FAS
MAP3K5 DAXX
MAP3K5 JAK2
MAP3K5 TNFAIP3
MAP3K5 TRAF2
MAP3K5 SIAH1
MAP3K5 PDCD6
MAP3K5 ARRB1
MAP3K5 TRAF6
MAP3K5 PSMC1
MAP3K5 PTPN11
MAP3K5 RAF1
MAP3K5 HSPA1A
MAP3K5 GADD45B
MAP3K5 TRAF5
MAP3K5 MAP3K5
MAP3K5 MAP2K6
MAP3K5 MAP3K6
MAP3K5 ERN1
MAP3K5 PPP5C
MAP3K5 MAP3K7
MAP3K5 STUB1
MAP3K5 USP9X
MAP3K5 DAB2IP
MAP3K5 PARK7
MAP3K5 MAP2K3
MAP3K5 GEMIN5
MAP3K5 TXN2
MAP3K5 CIB1
MAP3K5 TPD52L2
MAP3K5 LATS2
MAP3K5 PDPK1
MAP3K5 EP300
MAP3K5 YWHAG
MAP3K5 YWHAH
MAP3K5 SFN
MAP3K5 YWHAE
MAP3K5 AKAP13
MAP3K5 IGF1R
MAP3K5 CREBBP
MAP3K5 PRKAB2
MAP3K5 TRAF1
MAP3K5 MAP3K3
MAP3K5 YWHAQ
MAP3K5 AKT3
MAP3K5 LONP2
MAP3K5 ALK
MAP3K5 KMT2A
MAP3K5 MAP2K1
MAP3K5 AHCYL2
MAP3K5 CDKN1A
MAP3K5 TNNT2
MAP3K5 DMD
MAP3K5 MACF1
MAP3K5 PRKAA2
MAP3K5 QARS1
MAP3K5 PPP3R1
