INPPL1 PLCB4
PLCB4 JUN
PLCB4 PLCG1
PLCB4 GRIN1
PLCB4 REL
PLCB4 INPP5D
PLCB4 SYNJ1
PLCB4 PLCG2
PLCB4 MEOX2
PLCB4 DGKQ
PLCB4 DGKZ
PLCB4 PLCB1
PLCB4 DGKI
PLCB4 PLCE1
PLCB4 INPP5J
PLCB4 PLCB3
PLCB4 PLCB2
PLCB4 IPMK
PLCB4 IMPA1
PLCB4 IMPA2
PLCB4 ISYNA1
PLCB4 PLCD3
PLCB4 PLCD1
PLCB4 DGKH
PLCB4 INPP5E
PLCB4 ITPKA
PLCB4 ITPKB
PLCB4 DGKA
PLCB4 PLCD4
PLCB4 DGKE
PLCB4 DGKG
PLCB4 INPP5B
PLCB4 PLCZ1
PLCB4 PLCXD2
PLCB4 DGKD
PLCB4 PLCH2
PLCB4 INPP5A
PLCB4 PLCL1
PLCB4 ITPKC
PLCB4 PLCH1
PLCB4 DGKB
TRIM54 ELMO1
TRIM54 CMIP
TRIM54 CCHCR1
ELMO1 RAC1
ELMO1 APBB1
ELMO1 DOCK1
ELMO1 DOCK4
ELMO1 CDC27
ELMO1 HCK
ELMO1 ARL4A
ELMO1 DOCK3
ELMO1 DOCK5
ELMO1 FGD1
ELMO1 RHOG
CMIP PIK3R1
CMIP TSR2
CMIP ZC4H2
MAPK8 HDAC9
MAPK8 PLA2G4A
MAPK8 SPI1
MAPK8 APP
MAPK8 CCDC88C
MAPK8 MAPK8IP1
HDAC9 MAPK9
HDAC9 MAPK10
HDAC9 ZBTB16
HDAC9 SUMO1
HDAC9 SIN3A
HDAC9 NCOR1
HDAC9 HDAC1
HDAC9 HDAC3
HDAC9 SUMO2
HDAC9 ESR1
HDAC9 SYK
HDAC9 YWHAG
HDAC9 MEF2D
HDAC9 MEF2A
HDAC9 MAML1
HDAC9 H4-16
HDAC9 BCL6
HDAC9 CTBP1
HDAC9 YWHAZ
HDAC9 ETV6
HDAC9 CBX5
HDAC9 TRIM29
HDAC9 SUV39H1
HDAC9 YWHAE
HDAC9 HDAC4
HDAC9 WNK1
HDAC9 HCK
HDAC9 SIN3B
HDAC9 H3C14
HDAC9 NRIP1
HDAC9 H4C6
HDAC9 HEY2
HDAC9 USF1
HDAC9 PKD1
HDAC9 MEF2C
HDAC9 RFXANK
HDAC9 HDAC9
HDAC9 PKN1
HDAC9 H3C15
HDAC9 MORF4L2
HDAC9 PCBP1
HDAC9 CAMK1
PLA2G4A MAPK9
PLA2G4A MAPK10
PLA2G4A MAPK14
PLA2G4A MAPK11
PLA2G4A KAT5
PLA2G4A MAPK1
PLA2G4A MAPK7
PLA2G4A JAK1
PLA2G4A ITGB3
PLA2G4A SIRT2
PLA2G4A PRKCA
PLA2G4A MAPK3
PLA2G4A ANXA2
PLA2G4A LGALS3
PLA2G4A CASP1
PLA2G4A VIM
PLA2G4A CASP3
PLA2G4A EHD1
PLA2G4A MAPK6
PLA2G4A PRDX6
PLA2G4A ELF3
PLA2G4A ANXA1
PLA2G4A NCF2
PLA2G4A NCF1
PLA2G4A RPS6KA5
PLA2G4A CAMK2A
PLA2G4A MAPK12
PLA2G4A MYCBP
PLA2G4A MKNK1
PLA2G4A S100A10
PLA2G4A MAPK13
PLA2G4A DYNLT1
PLA2G4A POR
PLA2G4A PLA2G5
PLA2G4A NACA
PLA2G4A PLA2G4A
PLA2G4A MAPK4
