FLNC PHLDB2
PHLDB2 USP7
PHLDB2 MYC
PHLDB2 YWHAG
PHLDB2 YWHAZ
SGCG CLDN5
CLDN5 TMEM128
CLDN5 TSPAN2
CLDN5 TF
CLDN5 TJP1
CLDN5 VAMP5
CLDN5 MPDZ
CLDN5 EHHADH
CLDN5 SFTPC
CLDN5 TECR
CLDN5 AQP1
CLDN5 CYB561A3
CLDN5 SMIM3
CLDN5 PMP22
CLDN5 GYPA
CLDN5 RPRM
CLDN5 YIPF1
CLDN5 MIP
CLDN5 CXCL9
CLDN5 ERG28
CLDN5 EFNA5
CLDN5 LHFPL5
CLDN5 TMEM190
CLDN5 SLC35B4
CLDN5 TMEM222
CLDN5 PLP2
CLDN5 CLDN3
CLDN5 CLDN1
CLDN5 CLDN5
CLDN5 TMEM140
CLDN5 ERMP1
CLDN5 CCDC167
CLDN5 TMEM14C
CLDN5 LAT
CLDN5 PLPPR2
CLDN5 BTNL8
CLDN5 CNPY3
CLDN5 CTRL
CLDN5 CORIN
CLDN5 TMEM182
CLDN5 CLRN2
CLDN5 FXYD6-FXYD2
MYOZ1 ACTN1
ACTN1 AGR2
ACTN1 NCOA1
ACTN1 PTK2
ACTN1 SRC
ACTN1 PLD2
ACTN1 ITGB1
ACTN1 APPBP2
ACTN1 SHC1
ACTN1 CLU
ACTN1 APEX1
ACTN1 PSEN1
ACTN1 APC
ACTN1 KAT2B
ACTN1 MAGEA11
ACTN1 FOS
ACTN1 CTNNA1
ACTN1 PRKCB
ACTN1 GRB2
ACTN1 PTPN6
ACTN1 DAG1
ACTN1 PTPN1
ACTN1 NR1H3
ACTN1 GIPC1
ACTN1 TTN
ACTN1 PDLIM1
ACTN1 SORBS2
ACTN1 ACTN4
ACTN1 MYOZ2
ACTN1 SSX2IP
ACTN1 COL17A1
ACTN1 MYOT
ACTN1 ZYX
ACTN1 ACTN1
ACTN1 CDK5R1
ACTN1 CDK5R2
ACTN1 TUBA1A
ACTN1 DDN
ACTN1 EZR
ACTN1 ACTN2
ACTN1 IGSF8
ACTN1 CD81
ACTN1 ICAM1
ACTN1 HSF5
ACTN1 ACTN3
ACTN1 EPM2AIP1
ACTN1 MICALL2
ACTN1 GRM5
ACTN1 ICAM5
ACTN1 PKD1
ACTN1 GRIA4
ACTN1 PDLIM5
ACTN1 TES
ACTN1 CSRP1
ACTN1 ACTG2
ACTN1 HSP90AB1
ACTN1 GFI1B
ACTN1 RAVER1
ACTN1 COIL
ACTN1 MED14
ACTN1 OAS1
ACTN1 CLIC5
ACTN1 ATXN2
ACTN1 CDH1
ACTN1 LPP
ACTN1 SLC2A4
ACTN1 FBP1
ACTN1 PKN1
ACTN1 KCTD6
ACTN1 WNK1
ACTN1 VCL
ACTN1 MYOZ3
ACTN1 PYGB
ACTN1 CAMK2A
ACTN1 CDK5
ACTN1 FXN
ACTN1 NEBL
ACTN1 PALLD
ACTN1 CSRP3
ACTN1 PHB
ACTN1 CBY2
ACTN1 XRCC4
ACTN1 ADORA2A
ACTN1 LNX1
ACTN1 C14orf119
ACTN1 USP2
ACTN1 GADD45G
ACTN1 EIF2S1
ACTN1 TXN
ACTN1 DYNLT1
ACTN1 NKAPD1
ACTN1 SYNPO2L
USP7 PPARG
USP7 UBC
USP7 ANXA1
USP7 TANK
USP7 DHX40
MYC PIAS2
MYC BCL2
MYC TIAM1
MYC HSPB1
MYC ACTB
MYC MYO1B
MYC IGF2BP2
