MYOZ1 PFDN5
PFDN5 MAP3K3
PFDN5 HDAC1
PFDN5 HHEX
PFDN5 PSME3
PFDN5 MYC
PFDN5 KDM1A
PFDN5 TRIM28
PFDN5 GSTO2
PFDN5 VHL
PFDN5 BCL6
PFDN5 TP73
PFDN5 ETS1
PFDN5 FOS
PFDN5 SNAI1
PFDN5 GRB2
PFDN5 TFG
PFDN5 IKZF3
PFDN5 NTAQ1
PFDN5 PITX2
PFDN5 TUBA1A
PFDN5 YWHAE
PFDN5 IKBKG
PFDN5 TLE5
PFDN5 ABI2
PFDN5 POGZ
PFDN5 RNF115
PFDN5 BCAS2
PFDN5 SDCBP
PFDN5 KCTD9
PFDN5 GLRX3
PFDN5 BHLHE40
PFDN5 PDPK1
PFDN5 PHF1
PFDN5 SNRPB
PFDN5 PATZ1
PFDN5 TCF19
PFDN5 TUBA1B
PFDN5 PAX9
PFDN5 PPP2CB
PFDN5 PRKAB2
PFDN5 DMRT3
PFDN5 SNRNP25
PFDN5 GLYCTK
PFDN5 LNX1
PFDN5 DUSP9
PFDN5 MAP2K5
PFDN5 SAXO1
PFDN5 CALCOCO2
PFDN5 IKBKE
PFDN5 ZNF148
PFDN5 PSMB4
PFDN5 VBP1
PFDN5 PFDN2
PFDN5 PFDN4
PFDN5 PFDN1
PFDN5 PFDN6
PFDN5 NSUN2
PFDN5 PRPF4
PFDN5 TUBA3C
PFDN5 GH1
PFDN5 GUCD1
PFDN5 VEZF1
PFDN5 SYT17
PFDN5 FAM90A1
PFDN5 PITX1
PFDN5 SPAG8
PFDN5 PRR35
PFDN5 PPP1R32
PFDN5 NOXA1
PFDN5 FAM214B
PFDN5 TRAPPC6A
PFDN5 HOXC8
PFDN5 PILRA
PFDN5 KLHL42
PFDN5 SPG21
PFDN5 MISP
PFDN5 CCDC198
PFDN5 DOK5
PFDN5 VGLL1
PFDN5 CSPP1
PFDN5 SMG9
PFDN5 RSRC2
PFDN5 ELK3
PFDN5 SMAP1
PFDN5 VAX2
PFDN5 ZC2HC1C
PFDN5 YPEL5
PFDN5 MYOT
PFDN5 PHF24
PFDN5 C20orf85
PFDN5 DOK4
PFDN5 FAM110A
PFDN5 HAPLN2
PFDN5 TBX3
PFDN5 SLAIN1
PFDN5 METTL21A
PFDN5 ESPNL
PFDN5 RIPPLY1
PFDN5 C7orf31
PFDN5 RIBC1
PFDN5 IRX6
PFDN5 RUSC1
PFDN5 LARP4
PFDN5 TAF6L
PFDN5 FAAP20
PFDN5 SCNM1
PFDN5 C4orf45
PFDN5 ANKRD55
PFDN5 PRPF18
PFDN5 SOHLH1
PFDN5 FAM102A
PFDN5 IRX2
PFDN5 HOXB9
PFDN5 IL16
PFDN5 FAM222B
PFDN5 KLHL38
PFDN5 WDR25
PFDN5 NEUROG2
PFDN5 FAM221A
PFDN5 SHISA6
PFDN5 INCA1
PFDN5 C10orf62
PFDN5 PSMB8
PFDN5 STK19
PFDN5 GPANK1
PFDN5 SYCE1L
PFDN5 C10orf55
PFDN5 C22orf39
PFDN5 MRPL45
KCND2 KCNIP1
KCNIP1 IL6ST
KCNIP1 LITAF
KCNIP1 SPRED2
KCNIP1 NIF3L1
KCNIP1 TBC1D25
KCNIP1 CIAO2A
KCNIP1 KCNIP2
KCNIP1 KCND3
KCNIP1 KCND1
KCNIP1 ASPH
KCNIP1 SOD3
KCNIP1 AMPD3
KCNIP1 DAAM2
KCNIP1 NHLH2
INPPL1 ITSN1
INPPL1 PLCG2
INPPL1 PLCD3
ITSN1 MAPK8
ITSN1 AKT1
