MAP2K4 BLNK
BLNK GRB2
BLNK CBL
BLNK CD2AP
BLNK SH3KBP1
BLNK NCK1
BLNK GRAP2
BLNK BTK
BLNK CD79A
BLNK MAP4K1
BLNK DOK3
BLNK SYK
BLNK PLCG2
BLNK CMTM3
BLNK PIK3R1
BLNK SOS1
BLNK YWHAZ
BLNK MAPK1
BLNK PLCG1
BLNK BCAR1
BLNK NAP1L1
BLNK CRKL
BLNK ITK
BLNK BANP
BLNK CAMK2A
BLNK ERBB2
BLNK CRK
BLNK CBLB
BLNK PTPN6
BLNK SH3GL1
BLNK LCP2
BLNK CD72
BLNK NAP1L4
BLNK VAV1
BLNK TPI1
BLNK LAT2
INPPL1 INSR
INPPL1 CSF1R
INPPL1 PLCL1
INSR SP1
INSR MAPK1
INSR PLCG1
INSR JAK1
INSR PTPN11
INSR PTPN2
INSR PTK2
INSR SRC
INSR JAK2
INSR PRKCD
INSR IGF1R
INSR ARF1
INSR CAV1
INSR SHC1
INSR CRKL
INSR SMAD2
INSR ESR2
INSR STAT5A
INSR PRKCA
INSR MAPK3
INSR CALM3
INSR NFKBIA
INSR ADRB2
INSR PRKCB
INSR HRAS
INSR GRB2
INSR CBL
INSR PIK3R1
INSR VAV3
INSR KHDRBS1
INSR PTPN6
INSR GAB1
INSR IRS1
INSR PTPN1
INSR FRS2
INSR VAV1
INSR SH2B2
INSR SH2B1
INSR CRK
INSR IRS2
INSR PIK3R3
INSR SOCS2
INSR RACK1
INSR PTPRF
INSR PTPRK
INSR STUB1
INSR RAF1
INSR PHB
INSR KRT31
INSR SOCS6
INSR YWHAB
INSR PRKCI
INSR PRKCZ
INSR PPP2CA
INSR SNX1
INSR IGF2
INSR SQSTM1
INSR CSK
INSR GRB10
INSR RASA1
INSR SOCS3
INSR CAV3
INSR SNX2
INSR STAT5B
INSR CALM1
INSR PTPRJ
INSR PRKCE
INSR DOK1
INSR PTPRB
INSR CCDC88A
INSR HMGA1
INSR SYNCRIP
INSR GRB14
INSR PRKCQ
INSR ENPP1
INSR GRB7
INSR MARCHF1
INSR PTPRR
INSR DUSP18
INSR INSR
INSR PRKCG
INSR DOK5
INSR CALM2
INSR DOK4
INSR ARHGAP26
INSR MAD2L1
INSR CEACAM1
INSR AHSG
INSR FABP4
INSR SNX6
INSR PRKCH
INSR PTPRG
INSR PTPRO
INSR ACP1
INSR PTPRC
INSR KRT27
INSR BLVRA
INSR INS
INSR SORBS1
INSR INSRR
INSR SNX4
CSF1R SRC
CSF1R SHC1
CSF1R GRB2
CSF1R CBL
CSF1R GRAP2
CSF1R FYN
CSF1R PIK3R1
CSF1R STAP2
CSF1R KIT
CSF1R PIK3CA
CSF1R LYN
CSF1R SOS1
CSF1R RASA1
CSF1R YES1
CSF1R CSF1R
CSF1R INPP5D
CSF1R PIK3R2
CSF1R CSF1
CSF1R SOCS3
CSF1R THOC5
PLCL1 PLCG1
PLCL1 INPP5D
PLCL1 SYNJ1
PLCL1 PLCG2
PLCL1 DGKQ
PLCL1 DGKZ
PLCL1 PLCB1
PLCL1 DGKI
PLCL1 MAZ
PLCL1 PLCE1
PLCL1 INPP5J
PLCL1 PLCB3
PLCL1 PLCB2
PLCL1 IPMK
PLCL1 IMPA1
PLCL1 IMPA2
PLCL1 ISYNA1
PLCL1 PLCD3
PLCL1 PLCD1
PLCL1 DGKH
PLCL1 INPP5E
PLCL1 ITPKA
PLCL1 ITPKB
PLCL1 DGKA
PLCL1 PLCD4
PLCL1 DGKE
PLCL1 PLCB4
PLCL1 DGKG
PLCL1 INPP5B
PLCL1 PLCZ1
PLCL1 PLCXD2
PLCL1 DGKD
PLCL1 PLCH2
PLCL1 INPP5A
PLCL1 PLCH1
PLCL1 ITPKC
PLCL1 DGKB
TRIM54 CDKN1A
TRIM54 SDCBP
TRIM54 ELMO1
TRIM54 ARHGEF6
CDKN1A MAPK8
CDKN1A AKT1
CDKN1A MAPK9
CDKN1A MAPK10
CDKN1A MAP3K5
CDKN1A MAPK14
CDKN1A ZBTB16
CDKN1A MAPK11
CDKN1A MDM2
CDKN1A TP53
CDKN1A CREBBP
CDKN1A HDAC1
CDKN1A RB1
CDKN1A STAT3
CDKN1A JUN
CDKN1A NPM1
CDKN1A PSME3
CDKN1A CSNK2A1
CDKN1A CHEK2
CDKN1A MAPK1
CDKN1A PKM
CDKN1A MAPK7
CDKN1A PSMA3
CDKN1A USP11
CDKN1A EEF1A1
CDKN1A GAPDH
CDKN1A XRCC6
CDKN1A RPA1
CDKN1A PARP1
CDKN1A CDC5L
CDKN1A CDK1
CDKN1A EP300
CDKN1A ESR1
CDKN1A CCND1
CDKN1A TSG101
CDKN1A CCND2
CDKN1A CCND3
CDKN1A PCNA
CDKN1A GADD45A
CDKN1A CDK2
CDKN1A GADD45G
CDKN1A BCCIP
CDKN1A CCNA2
CDKN1A CCNE1
CDKN1A CIZ1
CDKN1A TK1
CDKN1A PIM1
CDKN1A SET
CDKN1A CUL4A
CDKN1A DDB1
CDKN1A DTL
CDKN1A CDC20
CDKN1A SKP2
CDKN1A CCNB1
CDKN1A CDK4
CDKN1A CDK6
CDKN1A MGMT
CDKN1A RNF144B
CDKN1A MDM4
CDKN1A PSMD2
CDKN1A OPTN
CDKN1A FLAD1
CDKN1A BAG6
CDKN1A TUBA1A
CDKN1A DOCK7
CDKN1A FKBPL
CDKN1A CCNE2
CDKN1A YWHAQ
CDKN1A CCNA1
CDKN1A RNF126
CDKN1A DAPK3
CDKN1A CDK14
CDKN1A CEBPA
CDKN1A CASP3
CDKN1A CDC45
CDKN1A CDC6
CDKN1A CDK5
CDKN1A CDK3
CDKN1A CKS1B
CDKN1A KRT31
CDKN1A AKT2
CDKN1A SKP1
CDKN1A STUB1
CDKN1A LRR1
CDKN1A DCAF11
CDKN1A FBXL12
CDKN1A RRM2B
CDKN1A NFYA
CDKN1A UHRF2
CDKN1A VHL
CDKN1A PDE4DIP
CDKN1A RACK1
CDKN1A CDKN1B
CDKN1A TLE1
CDKN1A TOP1
CDKN1A TUBB2B
CDKN1A VIM
CDKN1A RPS2
CDKN1A ACTL6B
CDKN1A GSK3B
CDKN1A SETDB1
CDKN1A IKZF3
CDKN1A MAPK6
CDKN1A UBB
CDKN1A RBBP4
CDKN1A OTUB1
CDKN1A TCF4
CDKN1A DHX9
CDKN1A UBE2D1
CDKN1A POLD2
CDKN1A TRAF1
CDKN1A KMT2B
CDKN1A CTSB
CDKN1A MAPK3
CDKN1A CSNK2B
CDKN1A ACTB
CDKN1A UBA52
CDKN1A MAPK13
CDKN1A UBC
CDKN1A RBM48
CDKN1A CCT7
CDKN1A RPS27A
CDKN1A CENPB
CDKN1A TAF5L
CDKN1A USP4
CDKN1A MED31
CDKN1A CPNE6
CDKN1A A2M
CDKN1A DYRK1B
CDKN1A TRMT2A
CDKN1A CDC27
CDKN1A SDF4
CDKN1A NMRK2
CDKN1A ZNF431
CDKN1A ATP6V1A
CDKN1A CDKN1A
CDKN1A COL4A5
CDKN1A PDHB
CDKN1A INPP5K
CDKN1A ALAS1
CDKN1A MAPK4
CDKN1A DDAH2
CDKN1A MCM10
CDKN1A SPRED1
CDKN1A LRIF1
CDKN1A GMNN
CDKN1A UNC119
CDKN1A CELF3
CDKN1A EXT2
CDKN1A HMGXB3
CDKN1A GNB2
CDKN1A NRBP1
CDKN1A CSAD
CDKN1A FAF1
CDKN1A RAI1
CDKN1A ANGPT2
CDKN1A CHGB
CDKN1A HERC5
CDKN1A QARS1
CDKN1A TMSB4X
CDKN1A GDF9
CDKN1A CDK5R1
CDKN1A FBN3
CDKN1A HADHB
CDKN1A CZIB
CDKN1A CHEK1
CDKN1A SLC25A11
CDKN1A WIZ
CDKN1A CCNB2
CDKN1A GNB5
CDKN1A WDR73
CDKN1A TUBB3
CDKN1A A1BG
CDKN1A ATP5F1B
CDKN1A COPS6
