SGCD DTNA
DTNA SGCG
DTNA SRC
DTNA SYNM
DTNA ACTB
DTNA HMG20A
DTNA DTNBP1
DTNA TNS2
DTNA ACTA1
DTNA MARK2
DTNA TJP1
DTNA KCNJ12
DTNA DMD
DTNA UTRN
DTNA SNTA1
DTNA SNTB2
DTNA DTNB
DTNA DRP2
DTNA GFI1B
DTNA SNTG1
DTNA SYNC
DTNA SNTG2
DTNA SSPN
DTNA SGCB
DTNA SNTB1
DTNA SGCA
KCND2 KCNIP1
KCNIP1 IL6ST
KCNIP1 LITAF
KCNIP1 SPRED2
KCNIP1 NIF3L1
KCNIP1 TBC1D25
KCNIP1 CIAO2A
KCNIP1 KCNIP2
KCNIP1 KCND3
KCNIP1 KCND1
KCNIP1 ASPH
KCNIP1 SOD3
KCNIP1 AMPD3
KCNIP1 DAAM2
KCNIP1 NHLH2
TRIM54 ZBTB16
TRIM54 SDCBP
TRIM54 CTNNA3
TRIM54 PSMA1
ZBTB16 MAP3K3
ZBTB16 GATA2
ZBTB16 PML
ZBTB16 EP300
ZBTB16 RB1
ZBTB16 HBEGF
ZBTB16 NCOR2
ZBTB16 RARA
ZBTB16 TRAF2
ZBTB16 TRIM27
ZBTB16 LDOC1
ZBTB16 VTA1
ZBTB16 CEP70
ZBTB16 HDAC1
ZBTB16 HDAC3
ZBTB16 HDAC4
ZBTB16 HDAC5
ZBTB16 HDAC6
ZBTB16 SIN3A
ZBTB16 SIN3B
ZBTB16 BMI1
ZBTB16 LAMTOR5
ZBTB16 NCOR1
ZBTB16 ZBTB16
ZBTB16 VDR
ZBTB16 ZBTB32
ZBTB16 BCL6
ZBTB16 RUNX1T1
ZBTB16 FHL2
ZBTB16 UBE2I
ZBTB16 SUMO1
ZBTB16 ATP6AP2
ZBTB16 EEF1A1
ZBTB16 TIMP1
ZBTB16 MTDH
ZBTB16 ATP7B
ZBTB16 TAB2
ZBTB16 CEBPA
ZBTB16 IL32
ZBTB16 GOLGA2
ZBTB16 KRT40
ZBTB16 NLRP7
ZBTB16 EZH2
ZBTB16 ERVK-6
ZBTB16 TRAF1
