FLNC USP53
USP53 DAB1
USP53 BLMH
USP53 CRKL
USP53 RAD50
USP53 DDB2
USP53 GRB2
USP53 CRK
USP53 SAMD4B
USP53 TRAF2
USP53 PSMA6
USP53 CAT
USP53 HCFC1
USP53 RPL26
USP53 AZGP1
USP53 PPP2R1B
USP53 YAE1
USP53 CPNE7
USP53 KRT77
USP53 TGM3
USP53 ARG1
USP53 CSTA
USP53 DSG1
USP53 CASP14
MAP2K4 MAP3K2
MAP2K4 BLNK
MAP3K2 MAPK8
MAP3K2 CTNNB1
MAP3K2 YWHAE
MAP3K2 NEDD4
MAP3K2 MAP2K5
MAP3K2 MAP3K3
MAP3K2 SFN
MAP3K2 XIAP
MAP3K2 YWHAG
MAP3K2 YWHAB
MAP3K2 SH2D2A
MAP3K2 MAP2K7
MAP3K2 STUB1
MAP3K2 SMURF1
MAP3K2 MAP3K2
MAP3K2 STK38
MAP3K2 YWHAH
MAP3K2 NFKBIA
MAP3K2 IKBKG
MAP3K2 YWHAZ
MAP3K2 WNK1
MAP3K2 DLD
MAP3K2 MAP3K5
MAP3K2 HNRNPA2B1
MAP3K2 FUS
MAP3K2 GTF2IRD1
MAP3K2 FAM32A
MAP3K2 PIBF1
MAP3K2 ANKHD1-EIF4EBP3
MAP3K2 ZNF277
MAP3K2 PKN2
MAP3K2 PAF1
MAP3K2 EPS8
BLNK GRB2
BLNK CBL
BLNK CD2AP
BLNK SH3KBP1
BLNK NCK1
BLNK GRAP2
BLNK BTK
BLNK CD79A
BLNK MAP4K1
BLNK DOK3
BLNK SYK
BLNK PLCG2
BLNK CMTM3
BLNK PIK3R1
BLNK SOS1
BLNK YWHAZ
BLNK MAPK1
BLNK PLCG1
BLNK BCAR1
BLNK NAP1L1
BLNK CRKL
BLNK ITK
BLNK BANP
BLNK CAMK2A
BLNK ERBB2
BLNK CRK
BLNK CBLB
BLNK PTPN6
BLNK SH3GL1
BLNK LCP2
BLNK CD72
BLNK NAP1L4
BLNK VAV1
BLNK TPI1
BLNK LAT2
KCND2 KCNIP1
KCNIP1 IL6ST
KCNIP1 LITAF
KCNIP1 SPRED2
KCNIP1 NIF3L1
KCNIP1 TBC1D25
KCNIP1 CIAO2A
KCNIP1 KCNIP2
KCNIP1 KCND3
KCNIP1 KCND1
KCNIP1 ASPH
KCNIP1 SOD3
KCNIP1 AMPD3
KCNIP1 DAAM2
KCNIP1 NHLH2
INPPL1 SH3KBP1
INPPL1 CSF1R
INPPL1 PLCL1
INPPL1 SORBS3
INPPL1 FCGR2B
SH3KBP1 MAP3K4
SH3KBP1 CTNNB1
SH3KBP1 PSMA3
SH3KBP1 EGFR
SH3KBP1 SRC
SH3KBP1 ASAP1
SH3KBP1 UBC
SH3KBP1 DAB1
SH3KBP1 GRB2
SH3KBP1 CBL
SH3KBP1 CD2AP
SH3KBP1 SH3GL3
SH3KBP1 ARHGAP27
SH3KBP1 PAK2
SH3KBP1 SYNJ1
SH3KBP1 CD2
SH3KBP1 BCAR1
SH3KBP1 SH3KBP1
SH3KBP1 SH3GLB2
SH3KBP1 SH3GL2
SH3KBP1 PIK3R1
SH3KBP1 CBLB
SH3KBP1 SHKBP1
SH3KBP1 PDCD6IP
